article,description,category_broad,category_specific,spotify_url
Akhil_Akkineni,Indian film actor and model,film/tv/theater,actor,
Ali_Wentworth,American actress,film/tv/theater,actor,
Angad_Bedi,Indian actor,film/tv/theater,actor,
Anna_Diop,Senegalese-born actress,film/tv/theater,actor,
Anya_Taylor-Joy,Argentine-British actress,film/tv/theater,actor,
Bella_Dayne,British actor,film/tv/theater,actor,
Ben_McKenzie,"American actor, producer and economist",film/tv/theater,actor,
Brandon_Victor_Dixon,Actor and producer,entertainment,actor,
Brendon_Miller,Pornographic film actor,entertainment,actor,
Brianna_Hildebrand,"American film actor, actor and television actor",entertainment,actor,
Camila_Mendes,Brazilian American actress,entertainment,actor,
Carlos_Pena_Jr.,"American film and TV actor, singer-songwriter, dancer and television show host",film/tv/theater,actor,
Charlie_Heaton,English actor,film/tv/theater,actor,
Charlie_Plummer,,film/tv/theater,actor,
Chris_Sullivan_(actor),American actor,film/tv/theater,actor,
Dacre_Montgomery,Australian actor,film/tv/theater,actor,
Danielle_Spencer_(Australian_actress),Australian singer-songwriter and actress,music,actor,
Daveed_Diggs,American actor and rapper,music,actor,
Dominic_Holland,"actor, comedian",film/tv/theater,actor,
Fionn_Whitehead,British actor,film/tv/theater,actor,
Georgina_Campbell,English actress,film/tv/theater,actor,
Harry_Shum_Jr.,American actor and dancer,film/tv/theater,actor,
Henry_Golding_(actor),British-Malaysian actor,film/tv/theater,actor,
Hugh_Skinner,British actor,film/tv/theater,actor,
Iris_Apatow,American actress,film/tv/theater,actor,
Jessie_Buckley,Irish actor and singer,film/tv/theater,actor,
Jim_Sarbh,Indian actor,film/tv/theater,actor,
Joan_Lin,Taiwanese actress,film/tv/theater,actor,
Jodie_Comer,British actress,film/tv/theater,actor,
Joe_Alwyn,English actor,film/tv/theater,actor,
Jurnee_Smollett-Bell,American actress,film/tv/theater,actor,
Karishma_Sharma,Indian television actress.,film/tv/theater,actor,
Katherine_Langford,Australian actress and singer,film/tv/theater,actor,
Kelly_Marie_Tran,American actress,film/tv/theater,actor,
Lakeith_Stanfield,actor and rapper,film/tv/theater,actor,
Laura_Harrier,actress,film/tv/theater,actor,
Letitia_Wright,actress,film/tv/theater,actor,
Lili_Reinhart,American actress,film/tv/theater,actor,
Lucas_Hedges,American actor,film/tv/theater,actor,
Madelaine_Petsch,American actress,film/tv/theater,actor,
Madison_Iseman,American actress,film/tv/theater,actor,
Madison_Wolfe,American actress,film/tv/theater,actor,
Maya_Hawke,American actress and model,film/tv/theater,actor,
Millicent_Simmonds,actor,film/tv/theater,actor,
Natalia_Dyer,American actress,film/tv/theater,actor,
Nicole_Maines,,film/tv/theater,actor,
Noah_Jupe,,film/tv/theater,actor,
Noah_Schnapp,American actor,film/tv/theater,actor,
Peyton_Kennedy,Canadian actress,film/tv/theater,actor,
Phoebe_Waller-Bridge,British actress,film/tv/theater,actor,
RJ_Cyler,American actor,film/tv/theater,actor,
Ritika_Singh,Indian actress and mixed martial artist,film/tv/theater,actor,
Robert_Shaw_(actor),English actor and novelist,film/tv/theater,actor,
